McID,UUID,Star,Win,Loss,FK,FD,Kill,Death,BB,BL,Iron,Gold,Dia,Eme,Ws,WLR,FKDR,KDR,BBLR
oBedless,646621aaed1b1f213dd31935,238,1257,682,5036,719,3880,6081,3205,962,533559,57927,10130,3003,0,1.84,7.0,0.64,3.33
oPxgeon,61a10fdaece6d7605433af52,43,114,591,426,587,1039,2447,311,558,103125,11516,718,331,1,0.19,0.73,0.42,0.56
Violetlin,58b3f466d005d6a6f1babd49,143,842,1974,2225,1880,7031,10439,889,1933,513862,75098,12343,6636,1,0.43,1.18,0.67,0.46
m9rko,5bf15b590691cfdb1714726e,56,199,834,930,821,3660,4351,478,842,181013,28212,3993,1979,0,0.24,1.13,0.84,0.57
0x,56af184b3a2909b5add55ae8,30,391,305,1834,329,2103,2618,891,374,129512,16928,1198,812,3,1.28,5.57,0.8,2.38
Gokiton,607e8735a247714526082b21,162,1197,1242,1895,1333,5279,8886,788,1379,421219,44357,2393,1360,0,0.96,1.42,0.59,0.57
Gokiton,607e8735a247714526082b21,162,1197,1242,1895,1333,5279,8886,788,1379,421219,44357,2393,1360,0,0.96,1.42,0.59,0.57
Fuukuu,5e9cee88cf6ea346e014267f,43,110,1361,676,1349,2032,4972,609,1360,165968,26002,3295,2984,0,0.08,0.5,0.41,0.45
Indigest,6592abb3ed1b1f213d06758d,9,28,29,196,30,168,230,117,37,13922,2629,419,100,1,0.97,6.53,0.73,3.16
xKarmq_jp,63b40112ed1b1f213d14935c,224,1221,2876,2553,2987,6449,11594,764,2906,989516,99153,8254,3242,2,0.42,0.85,0.56,0.26
valyh,6157022d941308034e830024,381,2311,1878,7166,2053,9909,14010,2847,2288,1239543,134298,13992,4517,0,1.23,3.49,0.71,1.24
Sodium_RM,5f871a5133b2baa3f8857144,236,880,1090,2235,1108,6615,9057,808,1118,640008,70157,11084,7828,3,0.81,2.02,0.73,0.72
LeVape,63727741941308034edcc53c,128,1350,218,5297,241,5045,5236,2217,359,341943,41416,5630,2162,0,6.19,21.98,0.96,6.18
Pvrpleflare,5eb318845af71ee9c462fd8d,95,474,442,2024,454,1794,2773,1401,556,202454,27171,4707,2066,2,1.07,4.46,0.65,2.52
ItzMrCow,5ebb0bd5cf6ea346e022a880,536,3607,2916,16811,2913,22158,25449,10619,3610,1185918,190345,35159,14267,0,1.24,5.77,0.87,2.94
Subobus,5c5b11cc2bdd021de75aa79a,214,888,2422,3317,2270,10430,10639,1690,2424,685011,89868,13889,6193,3,0.37,1.46,0.98,0.7
x_LE0N_x,5dd56c70de84451635a66c43,70,299,1581,1272,1563,3436,5421,969,1583,321325,37273,4034,3048,0,0.19,0.81,0.63,0.61
Hacker0711,5e4d6511ccd91ee794fc8515,23,114,520,485,511,1182,2186,420,505,111630,13127,2080,895,0,0.22,0.95,0.54,0.83
ItsNotch_404,56e966e5c3459c70d7fcce49,467,2115,1877,3634,1928,8614,14896,1337,2048,1151209,147432,32689,11976,0,1.13,1.88,0.58,0.65
3Pink,5f85da397bd87ce97da6c4ae,443,4395,4422,9846,4683,13347,32289,4659,4943,1598162,191919,15484,6919,0,0.99,2.1,0.41,0.94
_F_E,5752e5dbfe8b4c145850566b,166,231,3607,1461,3463,5558,9693,898,3485,482411,64967,10927,4429,0,0.06,0.42,0.57,0.26
Hertareum,52ea07b084ae6c136d0745b8,314,1676,1258,6356,1248,15149,8364,3403,1532,876664,161712,38695,30351,1,1.33,5.09,1.81,2.22
0Jungo,5fba63a70911aa79f33de894,187,516,3825,3458,3302,6176,9396,3654,3342,605759,88771,13773,9630,0,0.13,1.05,0.66,1.09
XelaRoz,634f80e2941308034e029ff3,19,50,436,160,442,640,1027,87,415,97838,9802,1615,1611,0,0.11,0.36,0.62,0.21
Romans,5e339dae33b2baa3f8efccba,230,711,361,2104,423,2857,3565,1019,543,222168,30161,3221,1676,0,1.97,4.97,0.8,1.88
JE55ICA,5eacf32a6d0493774c3e42df,1008,3008,4172,6340,4288,14487,26010,3016,4612,2103902,251984,51831,20387,0,0.72,1.48,0.56,0.65
Itzmy,5b7802e5388f031aa1930ea3,180,941,2051,3461,2078,5421,9200,2482,2201,612420,70620,9828,3118,0,0.46,1.67,0.59,1.13
IcedW,5e30734246bae398f287d6b8,304,3017,3692,10475,3858,14919,24212,5644,4297,966150,154392,8228,6395,6,0.82,2.72,0.62,1.31
kfc4,617a0f99941308034e544364,388,2269,5496,10455,5410,18746,23029,6939,5222,1427467,181474,24554,12617,0,0.41,1.93,0.81,1.33
cha_ray_,5ce7c9e5ae79a85ea5159c57,87,290,1541,766,1512,2784,5479,588,1529,334366,42442,6026,3409,1,0.19,0.51,0.51,0.38
2_Bad,5f4a721f67657b214dd3647f,59,207,1399,997,1411,2537,5174,707,1416,242271,32659,2586,1243,0,0.15,0.71,0.49,0.5
Borokoso,5d84993fa7311ea8978d6cf2,6,8,34,18,34,48,52,6,34,11247,1495,249,48,0,0.24,0.53,0.92,0.18
ExPoi,5e8498282c51ea72116c62b2,667,3233,1891,11824,2032,29782,23509,3602,2435,1176154,160309,24928,17559,0,1.71,5.82,1.27,1.48
