GameID,McID,UUID,Star,Win,Loss,FK,FD,Kill,Death,BB,BL,Iron,Gold,Dia,Eme,Ws,WLR,FKDR,KDR,BBLR
0,Gokiton,607e8735a247714526082b21,160,1180,1229,1861,1319,5231,8793,783,1363,415202,43702,2337,1318,0,0.96,1.41,0.59,0.57
0,Ryugetu357,61876552ed1b1f213d003aeb,352,2019,2434,4165,2516,8157,12705,1391,2610,1085344,116114,11448,4578,0,0.83,1.66,0.64,0.53
0,sasasiy,64bc8aa6d908bd5809fc8617,211,1553,541,4274,624,3392,6627,1658,754,583524,60727,7587,4423,0,2.87,6.85,0.51,2.2
0,yan_narakuaikouk,5d7cd5f4a7311ea897c7284b,314,1894,2709,4098,2796,6972,12942,1214,2911,981579,113311,17891,9351,0,0.7,1.47,0.54,0.42
1,Gokiton,607e8735a247714526082b21,160,1180,1229,1861,1319,5231,8793,783,1363,415202,43702,2337,1318,0,0.96,1.41,0.59,0.57
1,Ryugetu357,61876552ed1b1f213d003aeb,352,2019,2434,4165,2516,8157,12705,1391,2610,1085344,116114,11448,4578,0,0.83,1.66,0.64,0.53
1,sasasiy,64bc8aa6d908bd5809fc8617,211,1553,541,4274,624,3392,6627,1658,754,583524,60727,7587,4423,0,2.87,6.85,0.51,2.2
1,yan_narakuaikouk,5d7cd5f4a7311ea897c7284b,314,1894,2709,4098,2796,6972,12942,1214,2911,981579,113311,17891,9351,0,0.7,1.47,0.54,0.42
2,T_TLocT_T,5fe6259a67657b214da099e3,298,2025,4756,7277,4587,16857,24032,3219,4769,1207824,157466,16418,6893,0,0.43,1.59,0.7,0.67
2,FeFeF_,5d18d6491c8cd1f26270ccfa,104,1071,1619,3053,1629,9054,8647,1336,1789,611222,71516,8098,6081,0,0.66,1.87,1.05,0.75
2,SamSpider
2,25haru,637852fdef8c7aa0c3b7829c,71,102,2773,388,2791,1552,4320,305,2735,449531,46979,5250,3512,0,0.04,0.14,0.36,0.11
2,Gokiton,607e8735a247714526082b21,160,1180,1229,1861,1319,5231,8793,783,1363,415202,43702,2337,1318,0,0.96,1.41,0.59,0.57
2,YouTube_7,6113ae7b8ddd36626a6f29a1,54,79,1747,706,1743,2024,4189,644,1632,311948,34089,3789,1659,0,0.05,0.41,0.48,0.39
2,___woof,605dae3b67dc42da8cd779a6,99,265,2182,1033,2155,2843,7252,934,2126,332185,44720,5091,2559,0,0.12,0.48,0.39,0.44
2,KaguyaHouraisan,5c88b43ce2e3d882198ccffb,313,1711,2151,5368,2095,7949,13606,3380,2365,658392,99706,15983,6942,0,0.8,2.56,0.58,1.43
3,T_TLocT_T,5fe6259a67657b214da099e3,298,2025,4756,7277,4587,16857,24032,3219,4769,1207824,157466,16418,6893,0,0.43,1.59,0.7,0.67
3,FeFeF_,5d18d6491c8cd1f26270ccfa,104,1071,1619,3053,1629,9054,8647,1336,1789,611222,71516,8098,6081,0,0.66,1.87,1.05,0.75
3,SamSpider
3,25haru,637852fdef8c7aa0c3b7829c,71,102,2773,388,2791,1552,4320,305,2735,449531,46979,5250,3512,0,0.04,0.14,0.36,0.11
3,Gokiton,607e8735a247714526082b21,160,1180,1229,1861,1319,5231,8793,783,1363,415202,43702,2337,1318,0,0.96,1.41,0.59,0.57
3,YouTube_7,6113ae7b8ddd36626a6f29a1,54,79,1747,706,1743,2024,4189,644,1632,311948,34089,3789,1659,0,0.05,0.41,0.48,0.39
3,___woof,605dae3b67dc42da8cd779a6,99,265,2182,1033,2155,2843,7252,934,2126,332185,44720,5091,2559,0,0.12,0.48,0.39,0.44
3,KaguyaHouraisan,5c88b43ce2e3d882198ccffb,313,1711,2151,5368,2095,7949,13606,3380,2365,658392,99706,15983,6942,0,0.8,2.56,0.58,1.43
4,T_TLocT_T,5fe6259a67657b214da099e3,298,2025,4759,7278,4590,16859,24037,3220,4772,1208217,157493,16424,6893,0,0.43,1.59,0.7,0.67
4,FeFeF_,5d18d6491c8cd1f26270ccfa,104,1072,1619,3056,1629,9055,8648,1339,1790,611678,71571,8114,6082,1,0.66,1.88,1.05,0.75
4,SamSpider
4,25haru,637852fdef8c7aa0c3b7829c,71,102,2774,388,2792,1552,4321,305,2736,449724,47003,5255,3520,0,0.04,0.14,0.36,0.11
4,Gokiton,607e8735a247714526082b21,160,1180,1230,1861,1320,5231,8793,783,1364,415301,43708,2337,1318,0,0.96,1.41,0.59,0.57
4,YouTube_7,6113ae7b8ddd36626a6f29a1,54,79,1748,706,1744,2024,4190,644,1633,312035,34096,3791,1659,0,0.05,0.4,0.48,0.39
4,___woof,605dae3b67dc42da8cd779a6,99,265,2184,1034,2157,2848,7257,935,2128,332537,44756,5095,2559,0,0.12,0.48,0.39,0.44
4,KaguyaHouraisan,5c88b43ce2e3d882198ccffb,314,1711,2152,5368,2096,7949,13608,3380,2366,658509,99716,15983,6942,0,0.8,2.56,0.58,1.43
